ClaimID,CustomerID,ClaimDate,ClaimAmount,VehicleAge,AccidentType,PoliceReport,InjuryReported,RepairShop,DaysToReport,FraudInvestigatorAssigned,ClaimApprovedAfterReview,Fraudulent
CLM00074,80,2026-03-19,"$1,340",12,Flood,No,No,AutoCare,6,No,Yes,0
CLM00075,1377,2026-04-07,"$3,252",2,Theft,Yes,No,AutoCare,4,No,Yes,0
CLM00076,1428,2026-03-19,"$3,285",9,Collision,Yes,No,TrustedGarage,5,No,Yes,0
CLM00077,515,2026-05-03,"$6,706",10,Collision,N,No,RapidFix,2,No,Yes,0
CLM00078,1118,2026-01-23,"$26,798",10,Collision,Y,Yes,RapidFix,3,Yes,No,1
CLM00079,413,2026-02-16,"$5,423",3,Theft,No,Yes,AutoCare,5,Yes,Yes,0
CLM00080,1666,2026-02-11,"$2,727",16,Collision,Y,No,TrustedGarage,4,Yes,Yes,0
CLM00081,943,2026-07-12,"$31,648",15,Collision,Y,Yes,,3,Yes,No,1
CLM00082,1749,2026-07-29,"$3,763",15,Theft,No,No,RapidFix,2,Yes,Yes,0
CLM00083,641,2026-01-01,"$2,923",8,Collision,No,No,AutoCare,2,No,Yes,0
CLM00084,518,2026-07-26,"$2,677",3,Collision,Y,No,AutoCare,4,No,Yes,0
CLM00085,133,2026-05-14,"$10,263",2,Collision,No,No,AutoCare,4,Yes,Yes,0
CLM00086,718,2026-03-06,"$6,679",4,Collision,No,No,AutoCare,4,No,Yes,0
CLM00087,894,2026-01-17,"$2,142",13,Collision,YES,No,RapidFix,1,No,Yes,0
CLM00088,1799,2026-03-26,"$9,101",21,Collision,YES,Yes,FixPro,4,No,Yes,0
CLM00089,1771,2026-07-27,"$11,261",6,Collision,Yes,Yes,RapidFix,4,No,Yes,0
CLM00090,1033,2026-06-22,"$7,270",11,Collision,Yes,No,,2,No,Yes,0
CLM00091,997,2026-03-19,"$7,932",7,Collision,Y,Yes,,6,No,Yes,0
CLM00092,39,2026-06-03,"$3,757",8,Collision,No,No,FixPro,5,No,Yes,0
CLM00093,1585,2026-01-04,"$8,074",11,Collision,No,Yes,AutoCare,2,No,Yes,0
CLM00094,1230,2026-04-05,"$3,276",2,Collision,Yes,No,AutoCare,1,No,Yes,0
CLM00095,1732,2026-02-12,"$10,999",17,Fire,No,No,TrustedGarage,0,No,Yes,0
CLM00096,1035,2026-07-08,"$5,153",20,Theft,Y,No,AutoCare,3,No,Yes,0
CLM00097,1244,2026-04-09,"$2,359",9,Collision,No,No,RapidFix,1,No,Yes,0
CLM00098,1704,2026-07-06,"$9,069",20,Theft,N,No,FixPro,3,No,Yes,0
CLM00099,1012,2026-01-13,"$9,683",10,Collision,Yes,No,TrustedGarage,4,No,Yes,0
CLM00100,675,2026-05-12,"$1,015",2,Theft,No,Yes,TrustedGarage,4,No,Yes,0
CLM00101,403,2026-04-04,"$1,813",11,Collision,Yes,No,AutoCare,1,No,Yes,0
CLM00102,579,2026-07-09,"$6,430",12,Collision,No,Yes,FixPro,3,No,Yes,0
CLM00103,1551,2026-07-10,$739,12,Collision,No,No,AutoCare,3,No,Yes,0
CLM00104,152,2026-07-01,"$3,503",6,Theft,No,No,FixPro,6,No,Yes,0
CLM00105,1767,2026-06-23,"$4,589",9,Theft,No,Yes,RapidFix,5,No,Yes,0
CLM00106,1374,2026-05-12,"$5,123",5,Fire,YES,Yes,AutoCare,2,No,Yes,0
CLM00107,1661,2026-07-11,"$6,386",0,Theft,YES,No,TrustedGarage,6,No,Yes,0
CLM00108,1574,2026-06-04,"$3,076",10,Collision,Yes,No,FixPro,7,No,Yes,0
CLM00109,989,2026-01-30,$914,1,Collision,Yes,No,TrustedGarage,3,No,Yes,0
CLM00110,784,2026-07-15,"$10,177",16,Collision,Yes,No,FixPro,3,No,Yes,0
CLM00111,670,2026-03-26,"$2,055",16,Collision,No,No,FixPro,4,No,Yes,0
CLM00112,1464,2026-05-16,"$5,385",0,Fire,Yes,No,RapidFix,3,No,Yes,0
CLM00113,892,2026-06-10,"$5,058",9,Fire,No,No,AutoCare,8,No,Yes,0
CLM00114,1792,2026-05-22,"$6,700",12,Fire,No,No,RapidFix,6,No,Yes,0
CLM00115,870,2026-05-03,"$3,023",5,Fire,Yes,Yes,AutoCare,5,No,Yes,0
CLM00116,1324,2026-07-24,"$19,389",2,Collision,No,Yes,AutoCare,4,No,Yes,0
CLM00117,1087,2026-04-24,"$1,578",19,Collision,No,No,RapidFix,4,No,Yes,0
CLM00118,1555,2026-04-17,"$3,513",20,Collision,Y,Yes,AutoCare,2,No,Yes,0
CLM00119,788,2026-07-27,"$6,982",10,Collision,No,Yes,FixPro,1,No,Yes,0
CLM00120,527,2026-06-19,"$4,191",9,Collision,No,No,TrustedGarage,7,No,Yes,0
CLM00121,856,2026-05-18,"$2,926",10,Collision,No,No,TrustedGarage,2,No,Yes,0
CLM00122,53,2026-07-21,"$11,506",11,Collision,No,Yes,RapidFix,3,No,Yes,0
CLM00123,248,2026-04-30,"$5,463",10,Collision,Yes,Yes,FixPro,2,No,Yes,0
CLM00124,879,2026-05-08,"$6,211",19,Fire,No,No,TrustedGarage,4,No,Yes,0
CLM00125,215,2026-03-29,"$4,726",1,Flood,Y,No,FixPro,3,Yes,Yes,0
CLM00126,130,2026-07-15,"$2,137",17,Collision,N,No,RapidFix,5,No,Yes,0
CLM00127,471,2026-07-15,"$8,259",2,Fire,Yes,No,AutoCare,1,No,Yes,0
CLM00128,1249,2026-05-11,"$7,674",13,Theft,Yes,No,TrustedGarage,6,No,Yes,0
CLM00129,1025,2026-07-02,"$1,742",11,Flood,No,No,RapidFix,2,No,Yes,0
CLM00130,1658,2026-05-22,"$6,888",19,Collision,N,No,AutoCare,7,Yes,Yes,0
CLM00131,784,2026-07-21,"$9,144",10,Collision,Yes,Yes,FixPro,4,No,Yes,0
CLM00132,1333,2026-04-18,"$3,944",11,Collision,Yes,No,RapidFix,3,No,Yes,0
CLM00133,944,2026-01-10,"$6,088",5,Collision,N,No,TrustedGarage,5,No,Yes,0
CLM00134,966,2026-04-09,"$2,731",8,Collision,No,No,AutoCare,6,No,Yes,0
CLM00135,330,2026-01-18,"$4,716",18,Collision,,Yes,TrustedGarage,4,No,Yes,0
CLM00136,557,2026-02-13,"$5,478",8,Collision,No,No,TrustedGarage,3,No,Yes,0
CLM00137,483,2026-02-26,"$2,997",1,Collision,Yes,No,AutoCare,4,Yes,Yes,0
CLM00138,7,2026-03-31,"$4,036",20,Collision,Yes,No,RapidFix,4,No,Yes,0
CLM00139,1687,2026-04-04,"$2,085",6,Collision,No,No,FixPro,2,No,Yes,0
CLM00140,1503,2026-04-23,"$7,469",5,Collision,No,No,RapidFix,4,No,Yes,0
CLM00141,1296,2026-04-04,"$5,835",7,Flood,No,Yes,FixPro,4,No,Yes,0
CLM00142,901,2026-03-27,"$7,377",11,Theft,Yes,Yes,FixPro,4,Yes,No,1
CLM00143,393,2026-03-12,"$15,090",3,Collision,No,Yes,RapidFix,1,No,Yes,0
CLM00144,1740,2026-01-24,"$3,084",6,Collision,No,No,TrustedGarage,5,No,Yes,0
CLM00145,561,2026-01-21,"$1,527",2,Collision,Yes,No,FixPro,6,No,Yes,0
CLM00146,1062,2026-05-28,"$1,994",4,Flood,No,No,FixPro,7,No,Yes,0
CLM00147,1486,2026-05-25,"$7,976",20,Collision,No,No,FixPro,7,No,Yes,0
CLM00148,1696,2026-04-25,"$4,731",15,Collision,No,No,RapidFix,4,No,Yes,0
CLM00149,153,2026-01-12,"$1,651",7,Collision,Y,No,FixPro,4,No,Yes,0
CLM00150,243,2026-07-21,"$8,409",18,Collision,Yes,No,FixPro,1,No,Yes,0
CLM00151,760,2026-03-27,"$1,587",1,Fire,Yes,No,TrustedGarage,7,No,Yes,0
CLM00152,809,2026-03-30,"$3,430",12,Collision,No,No,FixPro,1,No,Yes,0
CLM00153,1709,2026-04-07,"$1,277",6,Theft,No,No,AutoCare,4,No,Yes,0
CLM00154,1726,2026-07-08,"$5,958",7,Theft,No,Yes,TrustedGarage,5,No,Yes,0
CLM00155,929,2026-01-05,"$12,156",8,Theft,No,Yes,FixPro,6,No,Yes,0
CLM00156,1314,2026-04-01,"$1,306",0,Collision,No,No,TrustedGarage,6,No,Yes,0
CLM00157,698,2026-02-05,"$8,089",21,Theft,No,No,AutoCare,2,No,Yes,0
CLM00158,767,2026-05-20,"$3,576",17,Collision,YES,Yes,AutoCare,4,No,Yes,0
CLM00159,1276,2026-04-29,"$9,720",3,Collision,No,No,TrustedGarage,5,No,Yes,0
CLM00160,616,2026-01-21,"$10,719",7,Theft,No,No,FixPro,2,No,Yes,1
CLM00161,1366,2026-06-04,$300,9,Flood,No,No,TrustedGarage,1,No,Yes,0
CLM00162,1492,2026-05-06,"$7,447",12,Fire,No,No,RapidFix,3,No,Yes,0
CLM00163,954,2026-03-23,"$1,573",9,Flood,Yes,Yes,AutoCare,6,No,Yes,0
CLM00164,1733,2026-05-29,"$2,451",2,Collision,YES,No,RapidFix,3,No,Yes,0
CLM00165,654,2026-03-09,"$3,995",6,Flood,Yes,Yes,AutoCare,5,No,Yes,0
CLM00166,599,2026-02-09,"$3,879",18,Collision,,No,FixPro,0,No,Yes,0
CLM00167,1780,2026-05-10,"$44,632",13,Collision,Yes,No,AutoCare,3,Yes,No,1
CLM00168,89,2026-07-07,"$8,889",17,Collision,Yes,No,RapidFix,5,No,Yes,0
CLM00169,142,2026-04-12,"$8,339",4,Collision,YES,No,AutoCare,1,No,Yes,0
CLM00170,1590,2026-02-24,"$5,456",8,Collision,No,No,FixPro,4,No,Yes,0
CLM00171,965,2026-04-26,"$4,491",9,Collision,Y,No,AutoCare,4,No,Yes,0
CLM00172,300,2026-04-02,"$4,013",11,Collision,No,No,TrustedGarage,4,No,Yes,0
CLM00173,1310,2026-06-03,"$4,566",9,Collision,No,Yes,RapidFix,4,No,Yes,0
CLM00174,96,2026-07-17,"$4,617",18,Collision,No,No,AutoCare,5,No,Yes,0
CLM00175,1235,2026-05-17,"$3,121",20,Fire,No,No,RapidFix,5,No,Yes,0
CLM00176,1238,2026-04-29,"$5,933",4,Theft,YES,No,TrustedGarage,1,No,Yes,0
CLM00177,1047,2026-06-27,"$3,988",9,Collision,No,No,RapidFix,5,No,Yes,0
CLM00178,295,2026-04-22,"$4,771",4,Collision,N,No,RapidFix,4,No,Yes,0
CLM00179,1700,2026-06-14,"$5,794",11,Theft,No,No,AutoCare,3,No,Yes,0
CLM00180,1134,2026-05-08,"$19,490",0,Theft,No,No,FixPro,6,No,Yes,0
CLM00181,1321,2026-03-19,"$5,882",7,Collision,No,No,AutoCare,8,No,Yes,0
CLM00182,1258,2026-06-14,"$3,061",10,Flood,No,No,RapidFix,4,No,Yes,0
CLM00183,357,2026-07-26,"$2,245",6,Collision,No,No,TrustedGarage,3,No,Yes,1
CLM00184,1010,2026-05-17,"$2,182",20,Flood,No,No,RapidFix,9,No,Yes,1
CLM00185,1718,2026-05-12,"$6,195",4,Collision,Yes,No,TrustedGarage,5,No,Yes,0
CLM00186,1772,2026-02-27,"$7,509",5,Theft,No,No,FixPro,8,No,Yes,0
CLM00187,405,2026-05-12,$998,8,Collision,Yes,Yes,FixPro,7,No,Yes,0
CLM00188,1026,2026-04-04,$831,3,Collision,Yes,No,AutoCare,5,No,Yes,0
CLM00189,1371,2026-06-15,"$3,239",17,Fire,No,Yes,AutoCare,8,No,Yes,0
CLM00190,919,2026-06-16,"$4,528",14,Collision,No,No,FixPro,5,No,Yes,0
CLM00191,864,2026-06-14,"$11,331",14,Collision,No,Yes,AutoCare,8,No,Yes,0
CLM00192,1250,2026-06-14,"$1,649",5,Theft,Y,No,AutoCare,3,No,Yes,0
CLM00193,1024,2026-05-02,"$5,525",4,Collision,No,No,TrustedGarage,5,No,Yes,0
CLM00194,13,2026-01-16,"$13,727",2,Collision,No,Yes,AutoCare,4,No,Yes,0
CLM00195,1055,2026-03-02,"$2,741",7,Collision,No,No,AutoCare,3,No,Yes,0
CLM00196,1363,2026-04-28,"$4,451",17,Collision,N,No,TrustedGarage,5,No,Yes,0
CLM00197,1076,2026-06-07,"$2,332",9,Collision,No,No,RapidFix,5,Yes,Yes,0
CLM00198,672,2026-03-09,"$3,721",11,Collision,No,No,,3,No,Yes,0
CLM00199,1423,2026-04-09,"$5,315",4,Collision,No,No,FixPro,3,Yes,No,1
CLM00200,702,2026-04-05,"$2,531",8,Fire,No,No,RapidFix,5,No,Yes,0
CLM00201,76,2026-07-16,"$7,419",8,Collision,No,No,TrustedGarage,2,No,Yes,0
CLM00202,1167,2026-01-19,"$11,991",16,Theft,No,No,AutoCare,4,No,Yes,0
CLM00203,105,2026-02-04,"$8,270",1,Collision,Yes,No,FixPro,6,No,Yes,0
CLM00204,1004,2026-01-08,"$10,372",11,Theft,Yes,No,FixPro,5,No,Yes,0
CLM00205,593,2026-02-10,"$8,930",11,Collision,No,No,TrustedGarage,3,No,Yes,0
CLM00206,1185,2026-01-27,"$2,859",9,Collision,No,No,TrustedGarage,3,No,Yes,0
CLM00207,623,2026-06-30,"$9,427",12,Collision,No,Yes,RapidFix,7,No,Yes,0
CLM00208,1596,2026-01-19,"$4,067",2,Collision,YES,No,TrustedGarage,3,No,Yes,0
CLM00209,105,2026-05-23,"$11,738",11,Collision,No,No,AutoCare,2,No,Yes,0
CLM00210,1214,2026-01-31,"$4,331",2,Collision,No,Yes,AutoCare,4,No,Yes,0
CLM00211,1226,2026-05-24,"$14,374",18,Fire,YES,No,RapidFix,2,No,Yes,0
CLM00212,1153,2026-05-01,"$7,565",13,Collision,N,Yes,,4,No,Yes,1
CLM00213,524,2026-06-11,"$3,231",9,Flood,No,No,TrustedGarage,2,No,Yes,0
CLM00214,1324,2026-06-30,"$6,178",10,Collision,Yes,No,RapidFix,3,No,Yes,0
CLM00215,165,2026-05-31,"$7,945",3,Collision,Y,Yes,TrustedGarage,2,No,Yes,0
CLM00216,108,2026-03-26,"$6,221",0,Collision,No,Yes,FixPro,4,No,Yes,0
CLM00217,1313,2026-04-09,"$9,773",7,Collision,N,Yes,FixPro,6,No,Yes,0
CLM00218,24,2026-02-03,"$2,827",5,Collision,Yes,No,RapidFix,4,No,Yes,0
CLM00219,353,2026-04-03,"$3,635",4,Fire,No,No,FixPro,5,No,Yes,0
CLM00220,1360,2026-06-18,"$10,896",11,Fire,Y,Yes,AutoCare,3,No,Yes,0
CLM00221,1058,2026-04-10,"$1,937",6,Flood,No,No,AutoCare,4,No,Yes,0
CLM00222,198,2026-02-02,"$2,439",16,Fire,No,No,TrustedGarage,7,No,Yes,0
CLM00223,687,2026-04-27,"$7,038",9,Theft,YES,No,RapidFix,7,Yes,Yes,0
CLM00224,776,2026-05-08,"$6,046",17,Collision,No,No,FixPro,6,No,Yes,0
CLM00225,1343,2026-06-18,"$12,847",6,Collision,Yes,No,FixPro,6,No,Yes,0
CLM00226,1622,2026-07-07,"$5,370",16,Flood,No,No,AutoCare,4,No,Yes,0
CLM00227,362,2026-02-05,"$7,061",17,Flood,Yes,No,RapidFix,3,No,Yes,0
CLM00228,1245,2026-06-22,"$1,620",17,Theft,No,No,RapidFix,5,No,Yes,0
CLM00229,630,2026-04-06,"$5,629",4,Fire,Y,No,TrustedGarage,7,No,Yes,0
CLM00230,908,2026-05-11,"$5,886",21,Collision,No,No,RapidFix,4,Yes,Yes,0
CLM00231,466,2026-01-20,"$10,130",21,Collision,No,Yes,RapidFix,4,No,Yes,0
CLM00232,289,2026-07-05,"$17,366",1,Flood,No,No,FixPro,1,No,Yes,0
CLM00233,1282,2026-06-17,"$13,859",3,Collision,No,No,TrustedGarage,2,No,Yes,0
CLM00234,907,2026-04-02,"$3,015",1,Collision,No,Yes,AutoCare,9,Yes,Yes,0
CLM00235,530,2026-06-22,"$3,647",3,Collision,No,No,FixPro,2,No,Yes,0
CLM00236,406,2026-02-12,"$17,767",8,Theft,No,No,AutoCare,7,Yes,Yes,1
CLM00237,1285,2026-03-28,"$8,503",4,Collision,No,No,FixPro,2,No,Yes,0
CLM00238,1011,2026-06-25,"$4,755",9,Collision,No,No,FixPro,4,No,Yes,0
CLM00239,1376,2026-06-21,"$3,863",14,Fire,N,No,TrustedGarage,2,No,Yes,0
CLM00240,1073,2026-01-28,"$10,419",20,Fire,No,No,AutoCare,7,No,Yes,0
CLM00241,1046,2026-05-19,"$14,174",16,Collision,No,No,FixPro,0,No,Yes,0
CLM00242,963,2026-03-14,"$5,282",4,Theft,No,No,TrustedGarage,1,No,Yes,0
CLM00243,1553,2026-06-04,"$8,137",9,Fire,No,Yes,RapidFix,4,No,Yes,0
CLM00244,147,2026-03-28,"$3,044",0,Fire,Y,No,TrustedGarage,9,No,Yes,0
CLM00245,781,2026-05-15,"$5,704",17,Fire,N,No,AutoCare,3,No,Yes,0
CLM00246,262,2026-07-20,"$10,381",18,Theft,YES,No,TrustedGarage,4,Yes,No,1
CLM00247,640,2026-07-18,"$13,545",7,Theft,No,No,FixPro,4,No,Yes,0
CLM00248,437,2026-06-10,"$2,037",16,Collision,Yes,No,TrustedGarage,0,No,Yes,0
CLM00249,130,2026-01-31,"$2,450",17,Theft,YES,No,FixPro,7,No,Yes,0
CLM00250,1413,2026-03-28,"$1,213",5,Fire,No,No,RapidFix,6,Yes,Yes,1
CLM00251,505,2026-03-05,"$4,571",6,Collision,No,No,RapidFix,5,Yes,Yes,0
CLM00252,1567,2026-01-30,"$11,769",8,Collision,Yes,No,TrustedGarage,3,No,Yes,0
CLM00253,1671,2026-03-14,"$14,606",4,Flood,No,No,AutoCare,2,No,Yes,0
CLM00254,1413,2026-03-04,"$1,781",18,Fire,No,Yes,FixPro,2,Yes,Yes,0
CLM00255,1167,2026-04-28,"$3,207",21,Theft,Yes,No,RapidFix,4,No,Yes,0
CLM00256,172,2026-03-24,$545,16,Theft,Yes,No,AutoCare,5,Yes,No,1
CLM00257,572,2026-03-11,"$5,687",13,Collision,No,No,AutoCare,4,No,Yes,0
CLM00258,555,2026-01-31,"$4,898",7,Collision,No,No,FixPro,4,Yes,Yes,0
CLM00259,1137,2026-03-25,"$5,497",19,Collision,No,No,FixPro,4,Yes,Yes,1
CLM00260,250,2026-05-23,"$8,052",7,Collision,No,No,TrustedGarage,3,No,Yes,0
CLM00261,1283,2026-04-19,"$1,884",9,Theft,No,No,TrustedGarage,3,No,Yes,0
CLM00262,1287,2026-06-23,"$5,544",18,Collision,No,No,FixPro,5,No,Yes,0
CLM00263,804,2026-04-19,"$7,473",4,Collision,Y,No,TrustedGarage,6,No,Yes,0
CLM00264,114,2026-04-09,"$11,906",15,Fire,Yes,No,RapidFix,5,No,Yes,0
CLM00265,1157,2026-04-26,"$3,443",11,Collision,Y,Yes,RapidFix,2,No,Yes,0
CLM00266,574,2026-04-26,"$1,501",19,Collision,Y,No,TrustedGarage,6,No,Yes,0
CLM00267,163,2026-03-11,"$11,418",20,Theft,No,Yes,TrustedGarage,4,Yes,No,1
CLM00268,1131,2026-03-04,"$3,401",7,Fire,Yes,Yes,RapidFix,3,No,Yes,0
CLM00269,56,2026-01-01,"$2,022",20,Flood,YES,No,FixPro,3,No,Yes,0
CLM00270,243,2026-02-17,"$5,013",21,Theft,Yes,No,TrustedGarage,5,No,Yes,0
CLM00271,865,2026-06-12,"$3,666",16,Fire,YES,No,FixPro,2,No,Yes,0
CLM00272,70,2026-04-13,"$11,725",7,Collision,Yes,No,TrustedGarage,7,No,Yes,0
CLM00273,1354,2026-02-28,"$4,455",3,Flood,No,Yes,AutoCare,3,No,Yes,0
CLM00274,1242,2026-07-12,"$7,441",8,Collision,Yes,No,AutoCare,4,No,Yes,0
CLM00275,1782,2026-03-30,"$7,774",20,Fire,Yes,No,AutoCare,1,No,Yes,0
CLM00276,1371,2026-06-28,"$3,916",15,Collision,N,No,AutoCare,3,No,Yes,0
CLM00277,921,2026-04-03,"$7,476",9,Collision,Y,No,RapidFix,3,No,Yes,0
CLM00278,1066,2026-02-17,$934,14,Collision,No,No,FixPro,4,No,Yes,0
CLM00279,1782,2026-04-09,"$8,685",19,Collision,N,No,TrustedGarage,6,No,Yes,0
CLM00280,1538,2026-05-09,"$3,050",18,Collision,No,No,FixPro,2,No,Yes,0
CLM00281,1338,2026-03-11,"$14,258",14,Collision,YES,No,AutoCare,4,No,Yes,0
CLM00282,1527,2026-06-09,"$15,826",7,Collision,No,Yes,FixPro,5,No,Yes,0
CLM00283,963,2026-06-21,"$3,419",3,Fire,No,No,RapidFix,6,No,Yes,0
